id,y_2013,y_2014,y_2015,y_2016
370630001011,588,590,585,584
370630001012,731,737,731,663
370630001021,1118,1120,1118,1120
370630001022,840,831,835,822
370630002001,464,461,467,455
370630002002,445,641,645,653
370630002003,429,426,440,411
370630003011,526,529,546,538
370630003012,321,321,332,310
370630003013,325,329,354,279
370630003021,381,383,383,383
370630003022,494,497,510,492
370630003023,895,888,915,768
370630004011,462,461,461,458
370630004012,422,424,433,423
370630004013,343,342,348,343
370630004021,1048,1558,1610,1535
370630005001,450,900,915,896
370630005002,365,367,372,364
370630005003,677,700,716,697
370630005004,461,467,470,447
370630006001,1121,1404,1409,1430
370630006002,941,952,961,954
370630006003,218,218,218,218
370630007001,423,767,1031,1041
370630007002,549,561,558,563
370630007003,507,509,510,509
370630009001,365,383,395,326
370630009002,458,463,470,439
370630010011,398,403,397,386
370630010012,543,550,560,532
370630010013,559,537,552,535
370630010021,1080,1083,1079,1073
370630010022,325,331,335,320
370630010023,370,370,373,351
370630010024,516,516,515,501
370630011001,864,867,894,733
370630011002,577,570,598,583
370630013011,675,674,698,645
370630013031,518,514,516,499
370630013032,289,288,299,295
370630013041,1092,1092,1101,1089
370630014001,446,448,452,446
370630014002,762,767,758,756
370630015011,138,137,137,137
370630015021,1391,1517,1529,1505
370630015022,705,694,705,705
370630015023,1125,1250,1250,1250
370630015024,632,632,632,632
370630015031,0,0,0,0
370630016011,462,572,580,602
370630016012,1186,1181,1182,1179
370630016013,674,819,819,817
370630016031,281,280,281,277
370630016032,1120,1141,1175,1170
370630016033,539,540,538,544
370630016034,706,698,697,697
370630016041,866,862,862,865
370630016042,1127,1122,1125,1120
370630016043,703,695,697,697
370630017051,697,704,699,698
370630017052,1087,1082,1082,1080
370630017053,694,695,691,691
370630017061,1364,1455,1553,1553
370630017062,1046,1045,1045,1044
370630017071,469,469,472,463
370630017072,719,719,721,717
370630017073,265,264,264,264
370630017074,790,809,810,809
370630017075,403,1090,986,996
370630017081,1664,1709,1882,1671
370630017091,373,384,377,365
370630017092,355,355,356,355
370630017093,2002,2475,2339,2451
370630017101,1149,1152,1149,1165
370630017102,723,722,722,727
370630017111,603,646,664,663
370630017112,768,768,768,766
370630017113,740,742,742,731
370630018011,777,776,794,787
370630018012,268,278,268,271
370630018013,1034,1045,1066,1066
370630018014,509,459,517,463
370630018015,305,292,303,295
370630018021,826,829,825,804
370630018022,670,670,669,668
370630018023,796,803,795,797
370630018024,358,346,345,328
370630018061,742,722,731,722
370630018062,1578,1605,1622,1631
370630018071,1259,1146,1225,1112
370630018072,1300,1302,1297,1297
370630018073,1068,1069,1069,1060
370630018081,829,838,838,835
370630018082,2019,2277,2531,2733
370630018091,1628,1620,1620,1599
370630018092,1177,1189,1201,1196
370630019001,321,404,631,851
370630019002,1036,1037,1056,1044
370630020071,838,837,836,836
370630020072,1086,1154,1086,1156
370630020073,376,376,378,377
370630020081,386,386,386,385
370630020082,840,839,842,848
370630020091,799,799,798,790
370630020092,453,451,460,449
370630020093,714,713,713,714
370630020131,667,665,665,664
370630020132,402,402,402,401
370630020133,803,803,803,803
370630020151,994,991,990,988
370630020152,1139,1138,1141,1141
370630020153,197,528,547,543
370630020161,1759,1855,1759,1855
370630020162,969,966,969,969
370630020171,981,981,986,977
370630020172,677,680,714,712
370630020173,1839,1921,1917,1923
370630020181,1311,1622,1641,1337
370630020182,1640,2005,2001,2001
370630020183,1059,1088,1391,1789
370630020191,890,890,890,890
370630020192,950,1050,1055,1052
370630020193,716,824,714,821
370630020201,761,761,768,770
370630020202,1591,1663,1680,1791
370630020211,1783,1775,1774,1747
370630020212,523,573,519,559
370630020221,1133,1133,1133,1133
370630020222,1105,1125,1106,1221
370630020231,608,608,608,608
370630020232,738,878,878,878
370630020241,1629,1665,1724,1762
370630020242,669,669,669,669
370630020243,756,756,756,756
370630020251,895,915,931,946
370630020252,1047,1046,1049,1047
370630020253,599,599,602,599
370630020261,1014,1033,1015,1031
370630020262,1829,1836,1834,1832
370630020271,702,673,767,772
370630020272,2127,2549,2469,2586
370630020273,1053,1054,1054,1051
370630020281,1022,1052,1052,1080
370630020282,910,941,946,945
370630020283,2069,2118,2474,3640
370630021001,959,954,965,966
370630021002,900,837,851,843
370630021003,814,767,780,770
370630022001,501,801,1191,1279
370630023001,355,331,351,356
370630023002,79,221,238,209
370639801001,,,,
