id,y_2013,y_2014,y_2015
370630001011,5,5,4
370630001012,2,7,2
370630001021,3,3,3
370630001022,1,1,1
370630002001,3,3,1
370630002002,8,16,17
370630002003,5,3,3
370630003011,4,2,2
370630003012,4,2,2
370630003013,3,1,1
370630003021,2,2,0
370630003022,6,6,4
370630003023,3,2,2
370630004011,6,7,7
370630004012,2,3,2
370630004013,9,7,7
370630004021,9,9,8
370630005001,0,0,0
370630005002,9,8,4
370630005003,9,11,6
370630005004,7,7,6
370630006001,8,8,6
370630006002,7,7,5
370630006003,0,0,0
370630007001,2,2,2
370630007002,0,1,0
370630007003,2,3,3
370630009001,20,26,19
370630009002,44,37,36
370630010011,10,8,7
370630010012,13,14,16
370630010013,25,20,20
370630010021,1,1,3
370630010022,2,2,3
370630010023,14,11,12
370630010024,30,31,18
370630011001,38,21,19
370630011002,11,9,9
370630013011,36,44,37
370630013031,9,7,5
370630013032,3,3,4
370630013041,9,8,8
370630014001,1,1,1
370630014002,16,7,7
370630015011,0,0,0
370630015021,0,0,0
370630015022,0,0,0
370630015023,0,0,0
370630015024,0,0,0
370630015031,,,0
370630016011,3,3,3
370630016012,2,2,2
370630016013,1,1,1
370630016031,2,2,2
370630016032,2,2,3
370630016033,3,3,3
370630016034,5,3,3
370630016041,0,1,1
370630016042,1,2,2
370630016043,10,10,8
370630017051,0,0,0
370630017052,2,1,1
370630017053,1,1,1
370630017061,0,0,0
370630017062,0,0,0
370630017071,0,0,0
370630017072,0,0,0
370630017073,0,0,0
370630017074,1,0,0
370630017075,2,2,3
370630017081,4,4,3
370630017091,3,5,6
370630017092,4,4,4
370630017093,18,17,17
370630017101,0,0,0
370630017102,3,2,2
370630017111,1,1,0
370630017112,0,0,0
370630017113,0,0,0
370630018011,5,6,5
370630018012,6,6,5
370630018013,8,7,7
370630018014,10,10,10
370630018015,12,10,10
370630018021,3,3,3
370630018022,2,2,2
370630018023,5,3,4
370630018024,11,12,12
370630018061,11,8,7
370630018062,9,8,8
370630018071,2,1,2
370630018072,0,0,1
370630018073,1,1,1
370630018081,3,3,3
370630018082,3,3,2
370630018091,6,5,5
370630018092,6,6,5
370630019001,7,3,3
370630019002,14,10,10
370630020071,1,1,0
370630020072,0,0,0
370630020073,1,0,0
370630020081,2,1,1
370630020082,2,2,2
370630020091,3,4,4
370630020092,6,3,4
370630020093,3,4,5
370630020131,1,0,0
370630020132,1,1,1
370630020133,0,0,0
370630020151,1,1,1
370630020152,1,0,0
370630020153,0,0,0
370630020161,0,0,0
370630020162,2,1,1
370630020171,1,2,1
370630020172,0,0,0
370630020173,0,0,0
370630020181,1,1,1
370630020182,5,5,1
370630020183,2,2,2
370630020191,0,0,0
370630020192,4,3,3
370630020193,1,2,2
370630020201,1,1,1
370630020202,1,1,1
370630020211,8,25,1
370630020212,0,0,0
370630020221,0,0,0
370630020222,0,0,0
370630020231,0,0,0
370630020232,0,0,0
370630020241,1,1,1
370630020242,0,0,0
370630020243,0,0,0
370630020251,3,3,4
370630020252,0,0,0
370630020253,0,0,0
370630020261,1,1,1
370630020262,5,4,3
370630020271,9,6,5
370630020272,0,0,0
370630020273,0,0,0
370630020281,4,4,2
370630020282,1,1,0
370630020283,1,2,0
370630021001,7,5,4
370630021002,18,12,9
370630021003,14,12,15
370630022001,15,12,15
370630023001,8,8,7
370630023002,5,5,3
370639801001,0,,0
