id,2005-2009,2010-2014
37063000101,130,122
37063000102,158,168
37063000200,92,76
37063000301,75,65
37063000302,89,74
37063000401,107,93
37063000402,33,37
37063000500,207,155
37063000600,153,130
37063000700,159,134
37063000900,66,89
37063001001,143,121
37063001002,184,175
37063001100,169,147
37063001301,66,72
37063001303,126,104
37063001304,147,138
37063001400,93,106
37063001501,,
37063001502,192,195
37063001503,,
37063001601,251,267
37063001603,272,262
37063001604,207,227
37063001705,241,245
37063001706,69,66
37063001707,426,492
37063001708,99,139
37063001709,453,406
37063001710,149,131
37063001711,91,95
37063001801,254,264
37063001802,190,215
37063001806,153,172
37063001807,205,241
37063001808,117,126
37063001809,122,125
37063001900,97,89
37063002007,202,204
37063002008,87,75
37063002009,264,277
37063002013,101,127
37063002015,101,195
37063002016,55,48
37063002017,313,262
37063002018,140,148
37063002019,171,156
37063002020,61,78
37063002021,68,106
37063002022,56,77
37063002023,115,96
37063002024,81,102
37063002025,105,101
37063002026,134,169
37063002027,106,152
37063002028,50,65
37063002100,177,235
37063002200,47,38
37063002300,44,44
37063980100,,
