id,y_2010,y_2011,y_2012,y_2013,y_2014
37063000101,862,869,827,791,702
37063000102,740,766,741,752,727
37063000200,646,634,671,751,742
37063000301,695,719,723,768,763
37063000302,719,767,738,762,810
37063000401,806,805,911,1002,986
37063000402,1021,1054,1009,1019,1072
37063000500,628,642,643,673,696
37063000600,766,781,816,818,749
37063000700,521,575,587,608,692
37063000900,645,631,662,689,754
37063001001,772,740,753,761,768
37063001002,688,701,644,637,626
37063001100,486,440,431,413,449
37063001301,575,597,683,770,765
37063001303,823,703,700,709,729
37063001304,577,585,559,610,572
37063001400,457,410,455,532,415
37063001501,850,818,907,939,963
37063001502,656,672,673,701,741
37063001503,,,,,
37063001601,1214,1188,1234,1257,1325
37063001603,1280,1072,1085,634,1088
37063001604,1470,1632,1600,1478,1264
37063001705,835,862,886,893,936
37063001706,754,757,792,800,754
37063001707,1260,1192,1243,1247,1209
37063001708,613,798,784,846,883
37063001709,739,771,778,799,852
37063001710,738,769,815,815,816
37063001711,720,720,726,747,777
37063001801,1001,940,964,947,881
37063001802,700,765,908,931,959
37063001806,1232,1208,1396,1292,1286
37063001807,877,984,1016,978,1023
37063001808,807,849,915,973,1143
37063001809,853,800,801,819,798
37063001900,598,839,1011,1057,1160
37063002007,860,915,931,963,1029
37063002008,961,1094,1310,1436,1468
37063002009,775,830,897,904,902
37063002013,881,1119,1096,1168,1250
37063002015,843,848,848,856,879
37063002016,780,832,834,817,839
37063002017,1164,1195,1209,1301,1298
37063002018,925,933,1012,1124,1173
37063002019,981,986,1031,1047,1099
37063002020,1591,1137,1288,1436,1486
37063002021,924,861,910,960,971
37063002022,860,936,936,929,952
37063002023,910,857,899,889,899
37063002024,1024,1028,1155,1151,1251
37063002025,815,851,843,844,931
37063002026,832,858,862,881,918
37063002027,789,801,863,911,905
37063002028,921,943,990,1003,1015
37063002100,937,941,907,858,846
37063002200,884,1030,1092,1180,1209
37063002300,636,670,650,681,730
37063980100,,,,,
